report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,agency_jurisdiction,State,lat,lng
2012,LANPD00,"New Orleans, LA",362874,2958,193,136,1564,1065,12,815.16,53.19,37.48,431,293.49,New Orleans, LA,30.0687,-89.9288
2012,NY03030,"New York City, NY",8289415,52993,419,1162,31211,20201,12,639.29,5.05,14.02,376.52,243.7,New York City, NY,40.6943,-73.9249
2012,NJNPD00,"Newark, NJ",278906,3220,96,55,1093,1976,12,1154.51,34.42,19.72,391.89,708.48,Newark, NJ,40.7245,-74.1725
2012,CA00109,"Oakland, CA",399487,7963,127,271,3227,4338,12,1993.31,31.79,67.84,807.79,1085.89,Oakland, CA,37.3342,-119.6483
2012,OK05506,"Oklahoma City, OK",595607,5474,85,389,3791,1209,12,919.06,14.27,65.31,636.49,202.99,Oklahoma City, OK,35.4676,-97.5136
2012,NB02802,"Omaha, NE",417970,2485,41,187,1442,815,12,594.54,9.81,44.74,345,194.99,Omaha, NE,41.2627,-96.0522
2012,FL04804,"Orlando, FL",246513,2508,24,103,1778,603,12,1017.39,9.74,41.78,721.26,244.61,Orlando, FL,28.4772,-81.3369
2012,PAPEP00,"Philadelphia, PA",1538957,17853,331,880,8658,7984,12,1160.07,21.51,57.18,562.59,518.79,Philadelphia, PA,40.0077,-75.1339
2012,AZ00723,"Phoenix, AZ",1485509,9458,123,556,5263,3516,12,636.68,8.28,37.43,354.29,236.69,Phoenix, AZ,33.5722,-112.0891
2012,PAPPD00,"Pittsburgh, PA",312112,2347,41,47,1125,1134,12,751.97,13.14,15.06,360.45,363.33,Pittsburgh, PA,40.4396,-79.9762
2012,OR02602,"Portland, OR",598037,3093,20,231,1892,950,12,517.19,3.34,38.63,316.37,158.85,Portland, OR,45.5372,-122.65
