report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,agency_jurisdiction,,lat,lng
2015,NJNPD00,"Newark, NJ",279110,3072,107,104,1068,1793,1100.64,38.34,37.26,382.64,642.4,Newark, NJ,40.7245,-74.1725
2015,CA00109,"Oakland, CA",419481,6051,85,285,2391,3290,1442.5,20.26,67.94,569.99,784.3,Oakland, CA,37.3342,-119.6483
2015,OK05506,"Oklahoma City, OK",630621,4828,73,480,3083,1192,765.59,11.58,76.12,488.88,189.02,Oklahoma City, OK,35.4676,-97.5136
2015,NB02802,"Omaha, NE",452252,2329,48,174,1452,655,514.98,10.61,38.47,321.06,144.83,Omaha, NE,41.2627,-96.0522
2015,FL04804,"Orlando, FL",268438,2525,32,182,1789,522,940.63,11.92,67.8,666.45,194.46,Orlando, FL,28.4772,-81.3369
2015,PAPEP00,"Philadelphia, PA",1567810,16132,280,1322,7765,6765,1028.95,17.86,84.32,495.28,431.49,Philadelphia, PA,40.0077,-75.1339
2015,AZ00723,"Phoenix, AZ",1559744,9261,112,1016,5113,3020,593.75,7.18,65.14,327.81,193.62,Phoenix, AZ,33.5722,-112.0891
2015,PAPPD00,"Pittsburgh, PA",306870,2167,57,82,1170,858,706.16,18.57,26.72,381.27,279.6,Pittsburgh, PA,40.4396,-79.9762
2015,OR02602,"Portland, OR",615672,2911,26,262,1776,847,472.82,4.22,42.56,288.47,137.57,Portland, OR,45.5372,-122.65
2015,MD01721,"Prince George's County, MD",685191,3256,66,248,1583,1359,475.2,9.63,36.19,231.03,198.34,Prince George's County, MD,37.2209,-77.2683
2015,NC09201,"Raleigh, NC",438363,1676,17,108,873,678,382.33,3.88,24.64,199.15,154.67,Raleigh, NC,35.8325,-78.6435
2015,CA03404,"Sacramento, CA",489717,3611,43,105,2289,1174,737.36,8.78,21.44,467.41,239.73,Sacramento, CA,38.5667,-121.4683
2015,UT01803,"Salt Lake City, UT",191992,1642,8,291,874,469,855.24,4.17,151.57,455.23,244.28,Salt Lake City, UT,40.7777,-111.9306
2015,TXSPD00,"San Antonio, TX",1463586,8594,94,1049,5465,1986,587.19,6.42,71.67,373.4,135.69,San Antonio, TX,31.4424,-100.4506
2015,CA03711,"San Diego, CA",1400467,5582,37,566,3601,1378,398.58,2.64,40.42,257.13,98.4,San Diego, CA,32.8312,-117.1225
2015,CA03801,"San Francisco, CA",863782,6710,53,344,2703,3610,776.82,6.14,39.82,312.93,417.93,San Francisco, CA,37.7562,-122.443
2015,CA04313,"San Jose, CA",1031458,3400,30,375,1855,1140,329.63,2.91,36.36,179.84,110.52,San Jose, CA,37.3019,-121.8486
2015,WASPD00,"Seattle, WA",683700,4093,23,144,2394,1532,598.65,3.36,21.06,350.15,224.07,Seattle, WA,47.6211,-122.3244
2015,MOSPD00,"St. Louis, MO",317095,5762,188,263,3521,1790,1817.12,59.29,82.94,1110.39,564.5,St. Louis, MO,38.6358,-90.2451
2015,FL02902,"Tampa, FL",364383,2298,34,77,1516,671,630.66,9.33,21.13,416.05,184.15,Tampa, FL,27.9942,-82.4451
2015,AZ01003,"Tucson, AZ",529675,3472,31,422,1960,1059,655.5,5.85,79.67,370.04,199.93,Tucson, AZ,32.1545,-110.8782
2015,OK07205,"Tulsa, OK",401520,3628,55,365,2354,854,903.57,13.7,90.9,586.27,212.69,Tulsa, OK,36.1284,-95.9042
2015,VA12800,"Virginia Beach, VA",452797,626,19,103,234,270,138.25,4.2,22.75,51.68,59.63,Virginia Beach, VA,36.7335,-76.0435
2015,DCMPD00,"Washington, DC",672228,8084,162,494,4024,3404,1202.57,24.1,73.49,598.61,506.38,Washington, DC,38.9047,-77.0163
2015,KS08703,"Wichita, KS",389824,3839,27,349,2730,733,984.8,6.93,89.53,700.32,188.03,Wichita, KS,37.6896,-97.3442
